Temp,Humd,Label
21.0,38.0,1.0
21.0,38.0,1.0
21.0,38.0,1.0
21.0,38.0,1.0
21.0,38.0,1.0
21.0,38.0,1.0
21.0,38.0,1.0
21.0,38.0,1.0
21.0,38.0,1.0
21.0,38.0,1.0
21.0,38.0,1.0
21.0,38.0,1.0
22.0,38.0,1.0
22.0,37.0,1.0
22.0,37.0,1.0
22.0,37.0,1.0
22.0,38.0,1.0
22.0,38.0,1.0
22.0,47.0,1.0
22.0,54.0,1.0
22.0,53.0,1.0
22.0,55.0,1.0
22.0,55.0,1.0
22.0,55.0,1.0
22.0,55.0,1.0
22.0,56.0,1.0
22.0,58.0,1.0
22.0,58.0,1.0
22.0,59.0,1.0
22.0,59.0,1.0
22.0,59.0,1.0
22.0,59.0,1.0
22.0,59.0,1.0
22.0,59.0,1.0
22.0,57.0,1.0
22.0,55.0,1.0
22.0,54.0,1.0
22.0,54.0,1.0
22.0,54.0,1.0
22.0,52.0,1.0
22.0,52.0,1.0
22.0,52.0,1.0
23.0,51.0,1.0
23.0,51.0,1.0
23.0,50.0,1.0
23.0,50.0,1.0
23.0,50.0,1.0
23.0,49.0,1.0
23.0,49.0,1.0
23.0,49.0,1.0
23.0,49.0,1.0
23.0,49.0,1.0
23.0,48.0,1.0
23.0,48.0,1.0
23.0,48.0,1.0
23.0,48.0,1.0
23.0,47.0,1.0
23.0,47.0,1.0
23.0,47.0,1.0
23.0,47.0,1.0
23.0,47.0,1.0
23.0,46.0,1.0
23.0,46.0,1.0
23.0,46.0,1.0
23.0,46.0,1.0
23.0,44.0,1.0
23.0,44.0,1.0
23.0,44.0,1.0
23.0,44.0,1.0
23.0,44.0,1.0
23.0,44.0,1.0
23.0,43.0,1.0
23.0,43.0,1.0
23.0,43.0,1.0
23.0,43.0,1.0
23.0,43.0,1.0
23.0,43.0,1.0
23.0,43.0,1.0
23.0,42.0,1.0
23.0,42.0,1.0
23.0,41.0,1.0
23.0,41.0,1.0
23.0,41.0,1.0
23.0,40.0,1.0
23.0,40.0,1.0
22.0,39.0,1.0
22.0,39.0,1.0
22.0,39.0,1.0
22.0,39.0,1.0
22.0,39.0,1.0
22.0,39.0,1.0
22.0,39.0,1.0
22.0,38.0,1.0
22.0,38.0,1.0
22.0,38.0,1.0
22.0,38.0,1.0
22.0,38.0,1.0
22.0,38.0,1.0
22.0,38.0,1.0
22.0,38.0,1.0
22.0,38.0,1.0
22.0,38.0,1.0
22.0,38.0,1.0
22.0,38.0,1.0
22.0,38.0,1.0
22.0,38.0,1.0
22.0,37.0,1.0
22.0,37.0,1.0
22.0,37.0,1.0
22.0,37.0,1.0
22.0,37.0,1.0
22.0,37.0,1.0
22.0,37.0,1.0
23.0,37.0,1.0
23.0,37.0,1.0
23.0,37.0,1.0
23.0,37.0,1.0
23.0,37.0,1.0
23.0,37.0,1.0
23.0,37.0,1.0
23.0,36.0,1.0
23.0,36.0,1.0
23.0,36.0,1.0
23.0,36.0,1.0
23.0,36.0,1.0
23.0,36.0,1.0
23.0,36.0,1.0
23.0,36.0,1.0
23.0,36.0,1.0
23.0,36.0,1.0
23.0,36.0,1.0
23.0,36.0,1.0
23.0,36.0,1.0
23.0,36.0,1.0
22.0,35.0,1.0
23.0,35.0,1.0
23.0,35.0,1.0
22.0,35.0,1.0
22.0,35.0,1.0
22.0,35.0,1.0
22.0,35.0,1.0
22.0,35.0,1.0
22.0,35.0,1.0
22.0,35.0,1.0
22.0,35.0,1.0
22.0,35.0,1.0
22.0,35.0,1.0
22.0,35.0,1.0
23.0,35.0,1.0
23.0,35.0,1.0
23.0,35.0,1.0
23.0,35.0,1.0
23.0,35.0,1.0
23.0,35.0,1.0
23.0,35.0,1.0
23.0,35.0,1.0
23.0,35.0,1.0
23.0,35.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,34.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,33.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
22.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
23.0,32.0,1.0
